p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene_symbol	sample_id	avg_norm_exp
81012_1.PRDX4	4.26465852967991e-185	10.9666327333144	0.881	0.131	1.43693404499035e-180	PRDX4	81012_1	4.08247422680412
81012_1.SEC11C	7.05104398667282e-171	10.8217242778569	0.871	0.138	2.37577876086954e-166	SEC11C	81012_1	3.20618556701031
81012_1.PHGDH	3.0248574478199e-168	1.98528428617914	0.505	0.024	1.01919546846844e-163	PHGDH	81012_1	0.855670103092783
81012_1.PSAT1	1.81407864619603e-159	1.56846881050888	0.433	0.015	6.1123565904929e-155	PSAT1	81012_1	0.618556701030928
81012_1.IGLL5	3.86475231526749e-159	1.03455997457489	0.392	0.01	1.30218964510623e-154	IGLL5	81012_1	0.56701030927835
81012_1.TBCEL	6.66380924914522e-159	2.4119832871536	0.438	0.016	2.24530388840699e-154	TBCEL	81012_1	0.814432989690722
81012_1.P4HA1	4.91713682072111e-151	5.89514539884485	0.629	0.059	1.65678008037377e-146	P4HA1	81012_1	1.55154639175258
81012_1.IGHGP	2.15110164898153e-147	0.667154293049013	0.294	0.002	7.24792189607837e-143	IGHGP	81012_1	0.381443298969072
81012_1.ITM2C	1.35093321001242e-142	10.5494584630906	0.691	0.086	4.55183435781585e-138	ITM2C	81012_1	1.85567010309278
81012_1.DKK1	4.0573425732744e-136	24.7005851408361	0.402	0.018	1.36708100663908e-131	DKK1	81012_1	1.04639175257732
81012_1.PDIA4	4.45939963381314e-136	10.5400805395329	0.737	0.114	1.502550112617e-131	PDIA4	81012_1	2.20618556701031
81012_1.PGAM2	1.25093625293966e-134	1.38952421612587	0.366	0.013	4.2149046106549e-130	PGAM2	81012_1	0.54639175257732
81012_1.TNFRSF18	3.80435745794926e-133	1.50803563873459	0.325	0.008	1.28184020188142e-128	TNFRSF18	81012_1	0.5
81012_1.SPINK2	1.24247740755804e-131	-0.408244263608639	0.433	0.024	4.18640337702605e-127	SPINK2	81012_1	0.917525773195876
81012_1.DPEP1	5.3051505652853e-129	2.18964944455127	0.371	0.015	1.78751743146723e-124	DPEP1	81012_1	0.634020618556701
81012_1.CTHRC1	6.53716218028061e-129	1.08918588470371	0.309	0.007	2.20263142502375e-124	CTHRC1	81012_1	0.443298969072165
81012_1.FKBP2	2.67784096953546e-126	22.2680098927261	0.814	0.173	9.02271736275278e-122	FKBP2	81012_1	3.53092783505155
81012_1.PDIA6	7.611316223203e-125	6.68182887036347	0.804	0.162	2.56455688824602e-120	PDIA6	81012_1	2.58247422680412
81012_1.FKBP11	2.07761078958688e-122	14.3065992504819	0.773	0.152	7.00030179443402e-118	FKBP11	81012_1	3.0360824742268
81012_1.MZB1	2.57940552461804e-122	148.535576897128	0.979	0.541	8.69104897464802e-118	MZB1	81012_1	35.7164948453608
81012_1.SDF2L1	3.92392003543277e-119	4.6622211370996	0.624	0.082	1.32212561673872e-114	SDF2L1	81012_1	1.44845360824742
81012_1.IGLV5-37	1.3269106754347e-118	116.668422130167	0.974	0.588	4.47089282980967e-114	IGLV5-37	81012_1	48.1855670103093
81012_1.MYBPC2	2.68007794488671e-118	0.698747113340897	0.263	0.004	9.03025462750128e-114	MYBPC2	81012_1	0.335051546391753
81012_1.SDC1	2.96826707286316e-117	0.534474559499046	0.253	0.003	1.00012790753051e-112	SDC1	81012_1	0.304123711340206
81012_1.LINC01480	2.4405761611705e-115	2.16751928063702	0.33	0.013	8.22327731744787e-111	LINC01480	81012_1	0.530927835051546
81012_1.JCHAIN	3.79653784019809e-113	443.535576897889	0.99	0.824	1.27920545987634e-108	JCHAIN	81012_1	131.690721649485
81012_1.DNAJB9	7.28717842920193e-112	9.53912486181599	0.655	0.104	2.4553418999353e-107	DNAJB9	81012_1	1.61340206185567
81012_1.MANF	6.40215210696853e-111	7.23289872455178	0.655	0.105	2.15714113092198e-106	MANF	81012_1	1.89175257731959
81012_1.DEPTOR	1.37109936541936e-110	1.21804461329933	0.309	0.011	4.61978220184398e-106	DEPTOR	81012_1	0.469072164948454
81012_1.IGHG1	4.99302250349047e-110	504.535576897889	0.99	0.809	1.68234900232608e-105	IGHG1	81012_1	179.29381443299
81012_1.FCRL5	5.49734946896243e-110	1.11075213190148	0.32	0.013	1.8522769300722e-105	FCRL5	81012_1	0.530927835051546
81012_1.SSR4	6.12961806138954e-109	49.6010642322985	0.985	0.69	2.06531350960459e-104	SSR4	81012_1	25.860824742268
81012_1.TXNDC5	1.3868992247177e-107	0.780630524688557	0.216	0.002	4.67301824776382e-103	TXNDC5	81012_1	0.298969072164948
81012_1.IGHG2	2.89043448674875e-107	Inf	0.99	0.9	9.73902995965124e-103	IGHG2	81012_1	211.025773195876
81012_1.HERPUD1	2.93276683474853e-107	20.0413530489905	0.881	0.268	9.88166457300169e-103	HERPUD1	81012_1	4.50515463917526
81012_1.CRELD2	6.19612700228578e-107	3.20710921932498	0.34	0.017	2.08772303215017e-102	CRELD2	81012_1	0.536082474226804
81012_1.SSR3	6.32608158880285e-106	9.85870793723137	0.835	0.23	2.13150993053123e-101	SSR3	81012_1	3.1701030927835
81012_1.KRTCAP2	1.32111040226422e-104	19.4323222575937	0.912	0.334	4.45134938938907e-100	KRTCAP2	81012_1	5.29381443298969
81012_1.KCNN3	7.16808301245279e-104	0.529782566105445	0.247	0.005	2.41521389021584e-99	KCNN3	81012_1	0.309278350515464
81012_1.MDK	5.55037010493056e-101	0.959802391086317	0.278	0.01	1.8701417031553e-96	MDK	81012_1	0.412371134020619
81012_1.RRBP1	8.34947005933419e-99	2.93224826925367	0.51	0.062	2.81327044179206e-94	RRBP1	81012_1	1.05670103092784
81012_1.GNG7	2.51230058903062e-98	2.05205393249943	0.351	0.022	8.46494560467978e-94	GNG7	81012_1	0.536082474226804
81012_1.IGHA1	1.26698001834683e-97	7.42933838315822	0.325	0.018	4.26896247381782e-93	IGHA1	81012_1	0.783505154639175
81012_1.TEX9	2.51733961125675e-97	0.60592625255575	0.242	0.006	8.4819240861685e-93	TEX9	81012_1	0.293814432989691
81012_1.PLPP5	6.36560182577882e-94	1.4899951235283	0.479	0.057	2.14482587917792e-89	PLPP5	81012_1	0.798969072164949
81012_1.HSP90B1	6.77124839578344e-94	29.2642416688149	0.876	0.351	2.28150443447527e-89	HSP90B1	81012_1	6.31443298969072
81012_1.TXNDC15	2.26631670239879e-91	1.42829865716842	0.521	0.071	7.6361274970625e-87	TXNDC15	81012_1	0.814432989690722
81012_1.UBE2J1	3.57458108077069e-91	3.02905594440719	0.577	0.093	1.20441934935488e-86	UBE2J1	81012_1	1.15979381443299
81012_1.SPCS2	4.43584111895738e-90	8.18415707895098	0.871	0.338	1.4946123066215e-85	SPCS2	81012_1	3.56701030927835
81012_1.TNFRSF4	6.6855187130058e-89	0.924146652463403	0.33	0.022	2.25261867516018e-84	TNFRSF4	81012_1	0.479381443298969
81012_1.DDOST	2.91884285723842e-88	3.25367032443107	0.686	0.155	9.83474912317914e-84	DDOST	81012_1	1.54639175257732
81012_1.MYDGF	1.6572587324408e-86	6.98959352056997	0.711	0.176	5.58396757308605e-82	MYDGF	81012_1	2.05670103092783
81012_1.SLC1A5	3.89274694539245e-86	0.827066160396743	0.335	0.025	1.31162215578053e-81	SLC1A5	81012_1	0.463917525773196
81012_1.CFAP54	1.88802473607364e-85	0.557441279256087	0.201	0.004	6.36151054572651e-81	CFAP54	81012_1	0.262886597938144
81012_1.FAR2	2.19414634121951e-85	1.02297648369732	0.304	0.019	7.39295668210501e-81	FAR2	81012_1	0.45360824742268
81012_1.PYCR1	6.44286499035758e-85	0.424121037095024	0.211	0.005	2.17085892985108e-80	PYCR1	81012_1	0.231958762886598
81012_1.LMAN2	6.71762927010559e-85	4.27959363449893	0.758	0.211	2.26343800626938e-80	LMAN2	81012_1	1.97422680412371
81012_1.ERLEC1	1.1302674936693e-84	7.68151645095937	0.546	0.091	3.80832329316933e-80	ERLEC1	81012_1	1.31443298969072
81012_1.PPIB	5.39926154869637e-84	8.84596986652596	0.866	0.363	1.81922718621775e-79	PPIB	81012_1	4.24742268041237
81012_1.NT5DC2	1.69200851081361e-83	0.785140736781082	0.222	0.007	5.70105347633538e-79	NT5DC2	81012_1	0.324742268041237
81012_1.UGT2B17	9.30010509987796e-83	0.433361659421386	0.196	0.004	3.13357741235288e-78	UGT2B17	81012_1	0.242268041237113
81012_1.GPRC5D	2.15553096830145e-82	0.420020296021322	0.17	0.002	7.26284604459491e-78	GPRC5D	81012_1	0.211340206185567
81012_1.TIMP1	4.1688107280386e-82	-9.30066701824824	0.892	0.355	1.40463908670533e-77	TIMP1	81012_1	3.99484536082474
81012_1.CD63	5.59782275302467e-82	8.10436393156996	0.871	0.325	1.88613039840413e-77	CD63	81012_1	3.51546391752577
81012_1.CCPG1	1.14014972103054e-80	2.37175657511856	0.536	0.089	3.84162047004031e-76	CCPG1	81012_1	1.03092783505155
81012_1.CREB3L2	1.71067026305596e-80	6.62656434020067	0.485	0.074	5.76393238434074e-76	CREB3L2	81012_1	1.18041237113402
81012_1.LY6E	2.40591619408049e-80	14.6792826675309	0.814	0.323	8.10649402433481e-76	LY6E	81012_1	3.92268041237113
81012_1.ATP10B	2.19656231416936e-79	1.5375359758321	0.149	0	7.40109706136224e-75	ATP10B	81012_1	0.237113402061856
81012_1.SEL1L	3.89673867320608e-78	1.0602811095122	0.448	0.06	1.31296712855006e-73	SEL1L	81012_1	0.628865979381443
81012_1.VIMP	9.95106144703321e-78	7.42503903731505	0.629	0.139	3.35291064396337e-73	VIMP	81012_1	1.39690721649485
81012_1.SIL1	1.51862122458494e-76	0.88589473489818	0.407	0.049	5.11684235411649e-72	SIL1	81012_1	0.556701030927835
81012_1.SPCS1	8.58622938998458e-75	11.4772349506178	0.902	0.454	2.8930441306614e-70	SPCS1	81012_1	3.74742268041237
81012_1.IGHA2	1.49254343904598e-74	2.21359652059863	0.191	0.005	5.02897586352151e-70	IGHA2	81012_1	0.38659793814433
81012_1.CHID1	1.89242805813583e-74	1.38615547776615	0.438	0.06	6.37634709908285e-70	CHID1	81012_1	0.675257731958763
81012_1.UGT3A2	4.92306965469744e-74	0.270171361075833	0.155	0.002	1.65877908945375e-69	UGT3A2	81012_1	0.164948453608247
81012_1.CADPS2	9.62460904461372e-74	0.262205773148004	0.149	0.001	3.24291577149215e-69	CADPS2	81012_1	0.15979381443299
81012_1.TPD52	3.13659416495174e-72	2.42313474624496	0.412	0.055	1.05684403793884e-67	TPD52	81012_1	0.711340206185567
81012_1.SLC7A5	5.37557663121551e-72	0.476404189583359	0.175	0.004	1.81124679012175e-67	SLC7A5	81012_1	0.22680412371134
81012_1.LMNA	9.1660769457907e-72	2.70451519518164	0.232	0.012	3.08841796611472e-67	LMNA	81012_1	0.365979381443299
81012_1.TMEM52B	1.31164128214252e-71	0.338309968713615	0.155	0.002	4.41944413605099e-67	TMEM52B	81012_1	0.185567010309278
81012_1.TTLL7	2.86400969729833e-71	0.263407268071352	0.149	0.002	9.649994274077e-67	TTLL7	81012_1	0.15979381443299
81012_1.CAV1	1.28295181420454e-70	0.468727425333421	0.165	0.003	4.32277784278076e-66	CAV1	81012_1	0.216494845360825
81012_1.TMEM258	1.80535875118342e-70	9.33190962024358	0.918	0.527	6.08297577623742e-66	TMEM258	81012_1	4.7680412371134
81012_1.TMED2	1.95283492466246e-70	3.340323721273	0.768	0.265	6.5798819951577e-66	TMED2	81012_1	1.87113402061856
81012_1.HSPA5	2.29734955701016e-70	20.3339057646061	0.67	0.182	7.74068959739004e-66	HSPA5	81012_1	2.09278350515464
81012_1.TMEM208	4.02691480178168e-70	2.15144655256517	0.546	0.111	1.35682867331232e-65	TMEM208	81012_1	1.02577319587629
81012_1.RABAC1	2.85121800596143e-69	5.30158861612074	0.804	0.326	9.60689394928643e-65	RABAC1	81012_1	2.46907216494845
81012_1.MTHFD2	2.43715398575538e-66	1.06772651175782	0.397	0.055	8.21174663960417e-62	MTHFD2	81012_1	0.587628865979381
81012_1.BCHE	5.70636675622031e-64	0.416709579243672	0.144	0.002	1.92270321484087e-59	BCHE	81012_1	0.185567010309278
81012_1.AZGP1	2.00071921352372e-63	3.23214946716603	0.18	0.007	6.74122331804683e-59	AZGP1	81012_1	0.402061855670103
81012_1.CD52	1.33230550531218e-62	-24.2530575650817	0.216	0.829	4.48907016959886e-58	CD52	81012_1	0.329896907216495
81012_1.FAM133A	1.57688498915691e-62	0.346953129683017	0.149	0.003	5.31315628246529e-58	FAM133A	81012_1	0.185567010309278
81012_1.QPRT	1.73100156515323e-62	0.581325258199876	0.196	0.009	5.83243667362729e-58	QPRT	81012_1	0.257731958762887
81012_1.RPN2	5.202219872399e-62	2.55287302533338	0.608	0.158	1.75283596380612e-57	RPN2	81012_1	1.17010309278351
81012_1.CFHR1	6.79895785937766e-62	0.501844972653579	0.144	0.003	2.29084086113871e-57	CFHR1	81012_1	0.190721649484536
81012_1.RBP1	6.99444421424007e-62	0.416011138601696	0.144	0.003	2.35670803354605e-57	RBP1	81012_1	0.185567010309278
81012_1.DST	1.84799935807047e-61	0.697464536581999	0.186	0.008	6.22664903708263e-57	DST	81012_1	0.262886597938144
81012_1.DAAM2	1.86044141884004e-61	0.714935361588425	0.227	0.015	6.26857131663964e-57	DAAM2	81012_1	0.319587628865979
81012_1.HM13	2.69112308353498e-61	1.83025440830132	0.562	0.131	9.06747011766277e-57	HM13	81012_1	0.969072164948454
81012_1.HSPA13	2.71443614010509e-60	0.522736175447566	0.253	0.021	9.14602113047008e-56	HSPA13	81012_1	0.319587628865979
81012_1.CUTA	3.06534178778999e-60	6.73008002692515	0.866	0.438	1.03283626197796e-55	CUTA	81012_1	2.74226804123711
81012_1.MFAP4	8.75443986606394e-60	0.356908340180638	0.119	0.001	2.94972096847158e-55	MFAP4	81012_1	0.149484536082474
81012_1.IGF1	1.00548338610666e-59	0.364936974431382	0.155	0.004	3.38787572114778e-55	IGF1	81012_1	0.185567010309278
81012_1.MEI1	1.4251847898048e-59	0.618276299442484	0.314	0.036	4.8020176307683e-55	MEI1	81012_1	0.381443298969072
81012_1.SHISA2	4.12756943378813e-59	0.418890801163852	0.139	0.003	1.39074324502057e-54	SHISA2	81012_1	0.15979381443299
81012_1.SPATS2L	2.89351695118641e-58	0.452361414337247	0.211	0.013	9.74941601532749e-54	SPATS2L	81012_1	0.247422680412371
81012_1.FCER2	1.1384985661967e-57	0.395913917064225	0.175	0.008	3.83605706894316e-53	FCER2	81012_1	0.216494845360825
81012_1.CHPF	8.16238678177123e-57	0.576885608911759	0.191	0.011	2.75023460225e-52	CHPF	81012_1	0.268041237113402
81012_1.DNAJB11	2.08641793160057e-56	1.13953326583897	0.433	0.08	7.02997657873498e-52	DNAJB11	81012_1	0.664948453608247
81012_1.SEC61B	7.18254930534922e-56	5.77824247836497	0.814	0.417	2.42008816294437e-51	SEC61B	81012_1	3.05670103092783
81012_1.DNAJC3	7.71845699348265e-56	4.84804937752073	0.557	0.143	2.60065689938404e-51	DNAJC3	81012_1	1.14432989690722
81012_1.B9D1	1.4042175188997e-55	0.518006583447138	0.149	0.005	4.73137050818064e-51	B9D1	81012_1	0.201030927835052
81012_1.SUB1	1.05257269760826e-54	3.00296850915676	0.876	0.613	3.54653844732127e-50	SUB1	81012_1	5.05154639175258
81012_1.TRAM1	1.74516027952469e-54	2.26815323528254	0.634	0.202	5.88014304583049e-50	TRAM1	81012_1	1.28865979381443
81012_1.SRPRB	2.59182197451459e-54	1.1210293382744	0.387	0.066	8.73288496092946e-50	SRPRB	81012_1	0.597938144329897
81012_1.TSPAN13	1.15039202562461e-53	0.375776714470687	0.139	0.004	3.87613089113956e-49	TSPAN13	81012_1	0.170103092783505
81012_1.GGH	1.45520410587883e-53	0.749015130008191	0.191	0.012	4.90316471434815e-49	GGH	81012_1	0.268041237113402
81012_1.TMEM205	1.99501326170644e-53	1.26589082970766	0.521	0.124	6.72199768399368e-49	TMEM205	81012_1	0.835051546391753
81012_1.P4HB	9.5433606828991e-53	3.24333881491705	0.598	0.176	3.21553994849602e-48	P4HB	81012_1	1.33505154639175
81012_1.MIF	1.34395616386592e-52	7.70233526430712	0.84	0.499	4.52832589852984e-48	MIF	81012_1	3.26288659793814
81012_1.ATF4	1.39330267519764e-52	2.54661322724413	0.655	0.22	4.69459403381093e-48	ATF4	81012_1	1.44329896907216
81012_1.LGALS1	2.06359025853601e-52	2.45138725191084	0.918	0.423	6.95306101711122e-48	LGALS1	81012_1	7.25257731958763
81012_1.CAPN2	4.16356219076631e-52	1.53073066337044	0.541	0.14	1.4028706445568e-47	CAPN2	81012_1	0.917525773195876
81012_1.SEPP1	5.73607219598401e-52	0.251875421890357	0.129	0.003	1.93271216571485e-47	SEPP1	81012_1	0.144329896907216
81012_1.TMED9	5.87001571964947e-52	2.08423495681327	0.629	0.205	1.97784309657869e-47	TMED9	81012_1	1.27835051546392
81012_1.GPR63	1.05968466398305e-51	0.360644147326557	0.108	0.001	3.57050150682448e-47	GPR63	81012_1	0.144329896907216
81012_1.PHPT1	1.16390548164336e-51	1.9211577307191	0.639	0.196	3.92166312984913e-47	PHPT1	81012_1	1.18041237113402
81012_1.SEC61A1	3.40350900254263e-51	1.07454710162405	0.392	0.071	1.14677832331671e-46	SEC61A1	81012_1	0.572164948453608
81012_1.SPCS3	1.46553843415338e-50	3.31309251714624	0.536	0.142	4.93798520003639e-46	SPCS3	81012_1	1.00515463917526
81012_1.TMED10	1.22822854540918e-49	2.22459715232938	0.649	0.221	4.13839326090171e-45	TMED10	81012_1	1.23711340206186
81012_1.WIPI1	4.28090789321394e-49	0.420760080695083	0.211	0.018	1.4424091055395e-44	WIPI1	81012_1	0.247422680412371
81012_1.HIST1H1C	1.9742126638112e-48	9.90390329921762	0.335	0.054	6.65191214944544e-44	HIST1H1C	81012_1	0.747422680412371
81012_1.CALR	9.1631855119367e-48	4.56318430743319	0.644	0.229	3.08744372639195e-43	CALR	81012_1	1.45876288659794
81012_1.SEC61G	1.24487235998476e-47	4.58981109285797	0.861	0.492	4.19447292973264e-43	SEC61G	81012_1	3.03092783505155
81012_1.LRRC16A	4.62446312058003e-47	0.516849873175544	0.232	0.024	1.55816660384824e-42	LRRC16A	81012_1	0.288659793814433
81012_1.NUCB2	5.44608195503393e-47	1.87909914102094	0.552	0.159	1.83500285392913e-42	NUCB2	81012_1	1.02061855670103
81012_1.CYBA	5.8066127506966e-47	4.77045361520597	0.902	0.492	1.95648010021971e-42	CYBA	81012_1	3.93814432989691
81012_1.LMAN1	7.82809913859377e-47	1.70144273245425	0.407	0.085	2.63759972375778e-42	LMAN1	81012_1	0.695876288659794
81012_1.ATRAID	2.2612627976049e-46	2.09002919059348	0.603	0.205	7.61909887024995e-42	ATRAID	81012_1	1.20618556701031
81012_1.NES	4.32606244641565e-46	0.350162515964928	0.124	0.004	1.45762348069529e-41	NES	81012_1	0.170103092783505
81012_1.DENND6B	5.06619894986067e-46	0.521956964682464	0.294	0.042	1.70700507416605e-41	DENND6B	81012_1	0.355670103092784
81012_1.DNAJC1	5.45819985862088e-46	0.846809895958539	0.227	0.024	1.83908586036372e-41	DNAJC1	81012_1	0.329896907216495
81012_1.CISD2	7.03827911437391e-46	0.835660306365709	0.402	0.083	2.37147776479714e-41	CISD2	81012_1	0.551546391752577
81012_1.COMMD3	1.15415829040562e-45	2.02248027695808	0.49	0.129	3.88882094369269e-41	COMMD3	81012_1	0.917525773195876
81012_1.PABPC4	5.38350688762814e-45	1.71119350037419	0.397	0.083	1.81391881071743e-40	PABPC4	81012_1	0.654639175257732
81012_1.WBSCR22	5.53369388219109e-45	1.63060818601967	0.433	0.102	1.86452281666547e-40	WBSCR22	81012_1	0.742268041237113
81012_1.HYOU1	6.70896992690915e-45	0.403237608627834	0.191	0.016	2.26052032717277e-40	HYOU1	81012_1	0.22680412371134
81012_1.ALG5	3.12610261781586e-44	1.17869230408326	0.438	0.104	1.05330901604688e-39	ALG5	81012_1	0.649484536082474
81012_1.ANKRD28	4.53488382546596e-44	2.33476341876437	0.314	0.052	1.5279837561525e-39	ANKRD28	81012_1	0.582474226804124
81012_1.LAPTM5	5.87937573357163e-44	-2.9829431756733	0.124	0.668	1.98099685966963e-39	LAPTM5	81012_1	0.164948453608247
81012_1.KIAA1217	2.27778301969238e-43	0.262360868715265	0.108	0.003	7.6747621065515e-39	KIAA1217	81012_1	0.134020618556701
81012_1.AARS	2.46400213946555e-43	0.450074457879606	0.216	0.023	8.30220880871524e-39	AARS	81012_1	0.262886597938144
81012_1.AIG1	4.31497303021708e-43	0.385412431570847	0.211	0.022	1.45388701280134e-38	AIG1	81012_1	0.237113402061856
81012_1.PRR34-AS1	1.05600576133009e-42	0.789920956030017	0.299	0.048	3.5581058122256e-38	PRR34-AS1	81012_1	0.422680412371134
81012_1.HSD17B8	1.3347975821897e-42	0.564125446695029	0.278	0.041	4.49746697342997e-38	HSD17B8	81012_1	0.34020618556701
81012_1.CDKN1A	2.49963893596588e-42	2.29931309299821	0.289	0.045	8.42228343084343e-38	CDKN1A	81012_1	0.520618556701031
81012_1.CLECL1	3.46544601273194e-42	0.645578944181573	0.222	0.025	1.1676473795299e-37	CLECL1	81012_1	0.288659793814433
81012_1.ARSA	4.84410453600161e-42	0.45027711358253	0.253	0.033	1.63217258236038e-37	ARSA	81012_1	0.293814432989691
81012_1.PTP4A3	7.2506414612046e-42	0.310386624749253	0.175	0.014	2.44303113393828e-37	PTP4A3	81012_1	0.195876288659794
81012_1.FAM27C	1.0729900292543e-41	0.431343894472117	0.124	0.005	3.61533260456943e-37	FAM27C	81012_1	0.170103092783505
81012_1.KDELR2	1.40133051029446e-41	0.552137116329259	0.381	0.08	4.72164302138615e-37	KDELR2	81012_1	0.458762886597938
81012_1.STEAP1	1.78571706657609e-41	0.313914698892916	0.129	0.006	6.01679508412148e-37	STEAP1	81012_1	0.154639175257732
81012_1.GARS	1.85239690891142e-41	0.847394667486666	0.284	0.044	6.24146614488614e-37	GARS	81012_1	0.360824742268041
81012_1.FCRLA	1.11310786470121e-40	1.27680859196464	0.149	0.01	3.75050563932427e-36	FCRLA	81012_1	0.22680412371134
81012_1.HMGB3	1.30646529203708e-40	0.474764245247859	0.175	0.015	4.40200415498973e-36	HMGB3	81012_1	0.242268041237113
81012_1.FAM3C	2.58046155772788e-40	5.67898645725067	0.258	0.037	8.69460717260833e-36	FAM3C	81012_1	0.396907216494845
81012_1.ISG20	3.12140693955934e-40	3.44339040071077	0.747	0.359	1.05172685421512e-35	ISG20	81012_1	2.07731958762887
81012_1.BMF	3.79484419718228e-40	0.302817962455601	0.155	0.011	1.2786348037986e-35	BMF	81012_1	0.170103092783505
81012_1.XBP1	3.83373922735199e-40	1.95272368929622	0.526	0.167	1.29174009526398e-35	XBP1	81012_1	1.00515463917526
81012_1.FAM46C	4.62411963703889e-40	0.476476437037043	0.191	0.019	1.55805087050388e-35	FAM46C	81012_1	0.237113402061856
81012_1.EDEM2	5.64758292920885e-40	1.38827318338593	0.273	0.043	1.90289659216763e-35	EDEM2	81012_1	0.407216494845361
81012_1.INSR	7.27050436515037e-40	1.29738682970506	0.309	0.056	2.44972374079376e-35	INSR	81012_1	0.541237113402062
81012_1.MESDC2	1.21650587001352e-39	1.09858506322325	0.469	0.127	4.09889487842355e-35	MESDC2	81012_1	0.680412371134021
81012_1.SELM	1.50265933433863e-39	1.86293103215847	0.526	0.168	5.06306036112057e-35	SELM	81012_1	0.938144329896907
81012_1.IRF4	1.54555702911649e-39	0.30830269535912	0.144	0.009	5.20759985390512e-35	IRF4	81012_1	0.164948453608247
81012_1.STT3A	2.60570629804915e-39	0.558797971119839	0.253	0.036	8.77966680064681e-35	STT3A	81012_1	0.319587628865979
81012_1.UCHL1	2.91281181535594e-39	0.253298665669784	0.119	0.005	9.81442813066029e-35	UCHL1	81012_1	0.139175257731959
81012_1.SPATS2	4.27320492973272e-39	0.826071082499997	0.211	0.025	1.43981366902414e-34	SPATS2	81012_1	0.304123711340206
81012_1.UAP1	5.62505506141734e-39	0.311043446640026	0.222	0.027	1.89530605239396e-34	UAP1	81012_1	0.231958762886598
81012_1.MTDH	6.41177001023356e-39	3.84521508266855	0.531	0.172	2.1603817872481e-34	MTDH	81012_1	1.01546391752577
81012_1.TIFA	8.15214832798345e-39	0.874337754035218	0.222	0.028	2.74678485763074e-34	TIFA	81012_1	0.298969072164948
81012_1.P2RX1	2.18381565772053e-38	0.602311047698983	0.196	0.021	7.35814847712356e-34	P2RX1	81012_1	0.257731958762887
81012_1.CFH	3.40099871516632e-38	0.705626670618872	0.113	0.005	1.14593250708814e-33	CFH	81012_1	0.154639175257732
81012_1.MARCKS	3.48260522930618e-38	0.44553182102941	0.227	0.029	1.17342900596242e-33	MARCKS	81012_1	0.27319587628866
81012_1.REEP5	3.52917703983237e-38	1.81681603148828	0.526	0.171	1.18912091180112e-33	REEP5	81012_1	0.969072164948454
81012_1.IFI6	5.66218274717421e-38	1.5482202077649	0.412	0.104	1.90781585483288e-33	IFI6	81012_1	0.721649484536082
81012_1.PTPRC	6.51196743430633e-38	-2.09126445933117	0.072	0.573	2.19414230731518e-33	PTPRC	81012_1	0.077319587628866
81012_1.HADH	8.92510452452156e-38	0.86541810226663	0.284	0.049	3.00722471849229e-33	HADH	81012_1	0.371134020618557
81012_1.YIF1A	1.81500614971755e-37	0.635587905182177	0.309	0.058	6.1154817208583e-33	YIF1A	81012_1	0.381443298969072
81012_1.PRDM1	3.00121524691714e-37	1.23490275119482	0.402	0.098	1.01122946529626e-32	PRDM1	81012_1	0.623711340206186
81012_1.ERGIC2	1.20139427144543e-36	0.800025781465767	0.418	0.109	4.04797785820822e-32	ERGIC2	81012_1	0.577319587628866
81012_1.TMBIM6	4.3097461325305e-36	3.19553733196687	0.701	0.351	1.45212586189483e-31	TMBIM6	81012_1	1.70618556701031
