Gene	p_val_adj	avg_logFC	avg_norm_exp	sample_freq	samples	GO_surface	CSPA_category	HPA_Reliability	GTEX_FDR	HPA_RNA_FDR	HPA_Protein_FDR
TMEM258	3.04148788811871e-66	6.79361848734884	3.49801894211077	1	81012_1/MMY21940	Non-surface	NA	NA	1.6246e-12	NA	0.00161917573961633
SSR3	1.06575496526562e-101	6.61542379523088	2.39435582132889	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.000126317476495738
SPCS1	1.4465220653307e-70	6.59366245052608	2.89466691438892	1	81012_1/MMY21940	Non-surface	NA	NA	1.6243e-12	NA	0.000570436602594775
PDIA4	7.51275447300943e-132	6.3931796972376	1.58171809783877	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.000570436602594775
ERLEC1	1.90416164658466e-80	5.94835283163442	1.11782001538182	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
DNAJB9	5.24237332434854e-107	5.94250315983075	1.17384269060931	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
ITM2C	2.27591717890793e-138	5.46105061457005	1.44962884869643	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	NA
PDIA6	1.28227844412301e-120	5.3929141450843	2.17640056688069	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	0.0180572618491402
SSR2	9.04059213984451e-22	5.33528529164085	2.0914613596495	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	NA
XBP1	6.4587004763199e-36	5.17925432311055	1.38648343861529	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	NA
MYDGF	2.79198378654302e-82	5.08442249060826	1.53002696139854	1	81012_1/MMY21940	Non-surface	NA	NA	NA	NA	FALSE
TMED2	3.28994099757885e-66	2.9646697127175	1.51477908072001	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.000182103549001059
MANF	5.44598237834565e-104	4.72032865759028	1.37798022830774	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.00921726321685701
RPL36AL	5.14805963310603e-08	4.68846257517244	3.64655939717078	1	81012_1/MMY21940	Surface	NA	NA	1.6245e-12	NA	NA
ATF5	4.99042719066989e-41	4.58571050409714	1.10828414894444	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
MIF	1.07504857598971e-44	4.49577638098489	2.03379032327754	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	0.000182103549001059
CREB3L2	2.88196619217045e-76	4.48803347450824	0.957347845248486	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.00161917573961633
CUTA	3.7640073784551e-36	4.14582761714472	1.96878699631009	1	81012_1/MMY21940	Non-surface	NA	Approved	FALSE	NA	FALSE
TNFRSF17	1.9410357065882e-203	4.06372741799962	1.07445277866593	1	81012_1/MMY21940	Surface	1_-_high_confidence	NA	1.6245e-12	NA	NA
SDF2L1	6.61065110952275e-115	4.04641220894511	1.214168128516	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.000182103549001059
CALR	1.54372186319598e-43	3.45217916449789	1.69836719350852	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
MTHFD2	7.69271304742524e-13	3.24494815337431	0.420386101053396	1	81012_1/MMY21940	Non-surface	NA	NA	1.6245e-12	NA	FALSE
TMEM59	3.54986751034109e-24	3.22990136858674	1.46233181531442	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	NA
DNAJC3	7.50741368944877e-44	3.09027684088053	0.855065199920498	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
TMED9	9.88921548289346e-48	2.07230019975589	1.07630853518376	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.000182103549001059
LMAN2	1.13173177132632e-80	2.89438439932327	1.42592312544828	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
SEC61G	2.09723646486632e-43	2.66467462292743	2.53139015390465	1	81012_1/MMY21940	Non-surface	NA	NA	1.6245e-12	NA	0.00113673928241464
CCPG1	2.03727441206162e-33	2.62226099303179	0.716218318196352	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
ATF4	3.39278655441007e-09	2.55711222584746	1.15291520121672	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	8.9604162033841e-08
P4HB	1.60776997424801e-48	2.38183782841852	1.15537154016989	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	FALSE
TRAM1	2.94007152291525e-50	2.35021185018992	1.30275403772868	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
MTDH	4.46089277669239e-06	2.34079007112632	0.947799016600271	1	81012_1/MMY21940	Non-surface	NA	NA	1.6245e-12	NA	1.25675564692485e-06
DDOST	4.91749410152314e-84	2.31710353376736	1.1147717354672	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	0.0299062044987106
UQCRQ	1.55390183187867e-10	2.25836247176848	1.60453374927628	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	2.14902497204234e-05
RPS27L	6.54837385897748e-10	2.14549287016992	1.60912885301717	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	NA
RPN2	8.76417981903059e-58	2.13072616712622	1.05110351621573	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
DPM3	4.1503059219768e-28	2.07932961548448	0.823942931706432	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
PSAT1	5.05961967397625e-49	1.11634119048467	0.39812998505025	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
CISD2	1.18573888239857e-41	1.99286509431045	0.72631804080504	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	1.25675564692485e-06
PHPT1	1.27239416454477e-45	1.98566386552442	0.959443402666759	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	8.9604162033841e-08
HM13	4.53373505883138e-57	1.95657291218004	0.899875562775987	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	FALSE
UBE2J1	3.36483141021089e-60	1.91177273645037	0.975119036302832	1	81012_1/MMY21940	Non-surface	NA	NA	1.6248e-12	NA	0.0180572618491402
SUB1	1.77326922366063e-50	1.86673843075966	4.51110429394838	1	81012_1/MMY21940	Non-surface	NA	NA	1.6246e-12	NA	0.000570436602594775
TMBIM6	1.3221540024663e-21	1.75551344606873	1.62174324452779	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	2.14902497204234e-05
COPE	7.64715134803105e-26	1.62037618961509	1.05597946785804	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
SPAG4	1.20411876905106e-180	1.5976398507519	0.677731353859714	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
OSTC	1.53078964971183e-30	1.55711481706741	1.06044062875364	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	NA
TMEM208	6.78482793812714e-66	1.44171622220353	0.736273018726074	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
ATRAID	1.29495089098018e-25	1.39964757030605	0.888926815357627	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	FALSE
SEL1L	6.56683892928072e-74	1.31294708100444	0.625832822046128	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
CNPY2	1.84496862673882e-25	1.00968383426977	0.696273796458724	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
NHP2	0.000126432926330824	1.10172008878944	0.595414833954079	1	81012_1/MMY21940	Non-surface	NA	NA	1.6243e-12	NA	FALSE
JSRP1	4.17790956998364e-133	1.06018502866776	0.529832528236016	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
LY96	8.90750701405714e-28	1.0417697431795	0.678126701290172	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	NA
TMEM205	1.01505165673592e-22	0.807997002408348	0.562957458024041	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.000126317476495738
KDELR2	2.36082151069307e-37	1.00485812201866	0.558803069451526	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	FALSE
SIL1	1.37173325931345e-33	0.593192014003712	0.395282619403565	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.00423141817121562
TXNDC15	5.60020322024736e-52	0.962071083378804	0.548876176320633	1	81012_1/MMY21940	Surface	NA	NA	FALSE	NA	FALSE
DNAJB11	1.5854263474974e-13	0.719173164550686	0.447310773325498	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	0.00161917573961633
ZNF593	2.63229388705173e-07	0.458782502043665	0.266252452018216	1	81012_1/MMY21940	Non-surface	NA	NA	FALSE	NA	8.9604162033841e-08
