p_val	avg_logFC	pct.1	pct.2	p_val_adj	sample_id	cell_type	gene_symbol
81012_1.CD4+T.JCHAIN	1.73279716699513e-106	442.937777017347	0.99	0.82	5.83848677447339e-102	81012_1	CD4+T	JCHAIN
81012_1.CD4+T.TBCEL	2.73490314353863e-106	2.41322588482995	0.438	0.016	9.21498265183906e-102	81012_1	CD4+T	TBCEL
81012_1.CD4+T.IGLL5	1.29753588367731e-105	1.14750079523107	0.392	0.007	4.37191740646232e-101	81012_1	CD4+T	IGLL5
81012_1.CD4+T.SSR4	3.7472852756516e-104	49.0044726116241	0.985	0.659	1.26261030077805e-99	81012_1	CD4+T	SSR4
81012_1.CD4+T.KRTCAP2	3.8615045225168e-104	20.8659765561508	0.912	0.292	1.30109533381681e-99	81012_1	CD4+T	KRTCAP2
81012_1.CD4+T.IGHG1	6.11496321017927e-104	503.937777017347	0.99	0.799	2.0603757040378e-99	81012_1	CD4+T	IGHG1
81012_1.CD4+T.CYBA	1.57335775120724e-103	8.87099097773343	0.902	0.267	5.30127160691768e-99	81012_1	CD4+T	CYBA
81012_1.CD4+T.FKBP11	3.1750168044718e-103	14.2400238435223	0.773	0.152	1.06979016209873e-98	81012_1	CD4+T	FKBP11
81012_1.CD4+T.DNAJB9	1.94758203749329e-101	9.58090583658555	0.655	0.087	6.56218291712989e-97	81012_1	CD4+T	DNAJB9
81012_1.CD4+T.IGHG2	3.05303279993958e-101	Inf	0.99	0.895	1.02868887161164e-96	81012_1	CD4+T	IGHG2
81012_1.CD4+T.MYDGF	3.64802031519856e-101	7.14849838922639	0.711	0.115	1.229163965003e-96	81012_1	CD4+T	MYDGF
81012_1.CD4+T.RRBP1	1.49951626657728e-99	2.97910878887973	0.51	0.037	5.05247010860549e-95	81012_1	CD4+T	RRBP1
81012_1.CD4+T.MEF2C	1.32708606353105e-97	1.65724158262814	0.392	0.012	4.47148378246152e-93	81012_1	CD4+T	MEF2C
81012_1.CD4+T.PSAT1	6.26274040905728e-97	1.55473679364117	0.433	0.02	2.11016775342776e-92	81012_1	CD4+T	PSAT1
81012_1.CD4+T.HSP90B1	2.86603636430119e-96	29.4147682857963	0.876	0.302	9.65682292587642e-92	81012_1	CD4+T	HSP90B1
81012_1.CD4+T.CCPG1	1.96892870496718e-92	2.45930185124388	0.536	0.051	6.63410837851643e-88	81012_1	CD4+T	CCPG1
81012_1.CD4+T.SPCS2	1.14375964390197e-91	8.35254525101149	0.871	0.288	3.85378374416329e-87	81012_1	CD4+T	SPCS2
81012_1.CD4+T.DKK1	2.7414549506251e-91	24.7020025741266	0.402	0.018	9.23705831063621e-87	81012_1	CD4+T	DKK1
81012_1.CD4+T.PGAM2	1.09511987206924e-90	1.39208767548397	0.366	0.011	3.68989689695009e-86	81012_1	CD4+T	PGAM2
81012_1.CD4+T.MANF	9.84664025638446e-90	7.2402004344171	0.655	0.106	3.31772696798618e-85	81012_1	CD4+T	MANF
81012_1.CD4+T.FAR2	4.37243606263243e-89	1.05712495069634	0.304	0.002	1.47324860694337e-84	81012_1	CD4+T	FAR2
81012_1.CD4+T.TNFRSF18	5.75443356782923e-89	1.53148946242101	0.325	0.005	1.93889884634438e-84	81012_1	CD4+T	TNFRSF18
81012_1.CD4+T.PPIB	7.63061012721065e-88	9.59523576341111	0.866	0.306	2.57105777626236e-83	81012_1	CD4+T	PPIB
81012_1.CD4+T.SLC1A5	8.63418301519762e-88	0.856299093005856	0.335	0.007	2.90920162514069e-83	81012_1	CD4+T	SLC1A5
81012_1.CD4+T.IGHGP	1.42440327273665e-87	0.668108260182622	0.294	0.001	4.79938438715886e-83	81012_1	CD4+T	IGHGP
81012_1.CD4+T.HSPA5	1.19150485475575e-86	20.5047117220152	0.67	0.12	4.01465645761402e-82	81012_1	CD4+T	HSPA5
81012_1.CD4+T.SPINK2	3.03281528951802e-86	-1.00509159911149	0.433	0.029	1.0218767836502e-81	81012_1	CD4+T	SPINK2
81012_1.CD4+T.VIMP	7.67681231101375e-86	7.55027394352109	0.629	0.098	2.58662514007297e-81	81012_1	CD4+T	VIMP
81012_1.CD4+T.DEPTOR	9.4203851840254e-86	1.22987498111739	0.309	0.004	3.17410458390552e-81	81012_1	CD4+T	DEPTOR
81012_1.CD4+T.LMAN2	1.33138468643306e-85	4.36413303246867	0.758	0.176	4.48596756246755e-81	81012_1	CD4+T	LMAN2
81012_1.CD4+T.TXNDC15	1.58456050127648e-84	1.46475432738043	0.521	0.056	5.33901815300097e-80	81012_1	CD4+T	TXNDC15
81012_1.CD4+T.CREB3L2	1.82587253227388e-84	6.67953822729254	0.485	0.047	6.15209491024361e-80	81012_1	CD4+T	CREB3L2
81012_1.CD4+T.DPEP1	3.81508079300265e-84	2.18760094217944	0.371	0.016	1.28545332239431e-79	81012_1	CD4+T	DPEP1
81012_1.CD4+T.CRELD2	7.52982691278865e-84	3.22030126339901	0.34	0.01	2.53709987999501e-79	81012_1	CD4+T	CRELD2
81012_1.CD4+T.PLPP5	2.83643027352694e-83	1.51817816055554	0.479	0.045	9.55706816362167e-79	81012_1	CD4+T	PLPP5
81012_1.CD4+T.DDOST	8.07620155971122e-83	3.29030802838001	0.686	0.137	2.7211953535291e-78	81012_1	CD4+T	DDOST
81012_1.CD4+T.SIL1	2.40044715350123e-80	0.924892119669812	0.407	0.027	8.08806663900706e-76	81012_1	CD4+T	SIL1
81012_1.CD4+T.FCRL5	4.36375483887095e-79	1.14248320489638	0.32	0.01	1.47032355540918e-74	81012_1	CD4+T	FCRL5
81012_1.CD4+T.TMEM205	4.4974243004056e-79	1.47409859021147	0.521	0.062	1.51536214377866e-74	81012_1	CD4+T	TMEM205
81012_1.CD4+T.CD52	1.57492604000673e-78	-7.31366962367588	0.216	0.921	5.30655579919868e-74	81012_1	CD4+T	CD52
81012_1.CD4+T.TMEM258	4.48408211090408e-78	11.9110089917096	0.918	0.46	1.51086662644802e-73	81012_1	CD4+T	TMEM258
81012_1.CD4+T.LY6E	7.83323011417929e-76	14.7837864306225	0.814	0.309	2.63932855467157e-71	81012_1	CD4+T	LY6E
81012_1.CD4+T.CTHRC1	8.99170599628418e-76	1.08459568292185	0.309	0.01	3.02966541838799e-71	81012_1	CD4+T	CTHRC1
81012_1.CD4+T.CAPN2	2.85586519499905e-75	1.69587895422447	0.541	0.076	9.62255218802978e-71	81012_1	CD4+T	CAPN2
81012_1.CD4+T.SEL1L	4.57042437265003e-74	1.08742364872772	0.448	0.044	1.5399587881207e-69	81012_1	CD4+T	SEL1L
81012_1.CD4+T.LINC01480	7.77122884927439e-74	2.16453026872946	0.33	0.015	2.61843784847451e-69	81012_1	CD4+T	LINC01480
81012_1.CD4+T.SPCS1	9.87650513236243e-74	11.748170936258	0.902	0.435	3.3277896392982e-69	81012_1	CD4+T	SPCS1
81012_1.CD4+T.GNG7	1.18806325550985e-73	2.06278294684189	0.351	0.019	4.00306033311488e-69	81012_1	CD4+T	GNG7
81012_1.CD4+T.PHPT1	1.30653785393787e-73	2.21194954954581	0.639	0.122	4.40224864505827e-69	81012_1	CD4+T	PHPT1
81012_1.CD4+T.ERLEC1	4.80358047362266e-73	7.71000965349776	0.546	0.084	1.61851840478242e-68	81012_1	CD4+T	ERLEC1
81012_1.CD4+T.P4HB	1.04646459536679e-72	3.48896014546257	0.598	0.108	3.52595780762885e-68	81012_1	CD4+T	P4HB
81012_1.CD4+T.SEC61B	1.71800831895331e-72	7.22647980752475	0.814	0.312	5.78865722988129e-68	81012_1	CD4+T	SEC61B
81012_1.CD4+T.RABAC1	2.34526560295371e-72	5.4473892804814	0.804	0.281	7.90213792259224e-68	81012_1	CD4+T	RABAC1
81012_1.CD4+T.IGHA1	3.12497433787781e-72	7.4990261611114	0.325	0.015	1.05292885340455e-67	81012_1	CD4+T	IGHA1
81012_1.CD4+T.TMEM208	3.36309931041159e-72	2.20938913196249	0.546	0.085	1.13316268165008e-67	81012_1	CD4+T	TMEM208
81012_1.CD4+T.TMED2	4.29681106919549e-72	3.45083637405339	0.768	0.232	1.44776752165473e-67	81012_1	CD4+T	TMED2
81012_1.CD4+T.SPCS3	1.48840480622054e-70	3.4924861006132	0.536	0.082	5.01503115407947e-66	81012_1	CD4+T	SPCS3
81012_1.CD4+T.CLIC1	6.01077430912993e-69	4.40478655824105	0.773	0.255	2.02527029571824e-64	81012_1	CD4+T	CLIC1
81012_1.CD4+T.LINC00152	6.90637468085831e-69	0.954699742315218	0.392	0.033	2.3270338849684e-64	81012_1	CD4+T	LINC00152
81012_1.CD4+T.EIF4EBP1	1.40944924186551e-68	1.77781510827937	0.459	0.056	4.74899827554165e-64	81012_1	CD4+T	EIF4EBP1
81012_1.CD4+T.LY96	2.32784133665087e-68	1.67081360374764	0.536	0.085	7.84342859971143e-64	81012_1	CD4+T	LY96
81012_1.CD4+T.SDC1	5.46738066674281e-68	0.53244719771589	0.253	0.004	1.84217924185232e-63	81012_1	CD4+T	SDC1
81012_1.CD4+T.HM13	4.19313596267138e-67	1.91888255174741	0.562	0.099	1.4128352312625e-62	81012_1	CD4+T	HM13
81012_1.CD4+T.MYBPC2	8.65019707073907e-67	0.694323551423316	0.263	0.007	2.91459740101482e-62	81012_1	CD4+T	MYBPC2
81012_1.CD4+T.MARCKS	1.35179716744284e-66	0.521670346904557	0.227	0.001	4.55474537598191e-62	81012_1	CD4+T	MARCKS
81012_1.CD4+T.ATOX1	1.65478868711658e-66	1.18191978391762	0.474	0.063	5.57564500237061e-62	81012_1	CD4+T	ATOX1
81012_1.CD4+T.IL7R	6.49155096548314e-66	-4.91876899563103	0.082	0.785	2.18726318230989e-61	81012_1	CD4+T	IL7R
81012_1.CD4+T.TXNDC5	3.20391484804913e-65	0.782158274240411	0.216	0.001	1.07952706890167e-60	81012_1	CD4+T	TXNDC5
81012_1.CD4+T.SEC61G	3.3313390930357e-65	7.12302709238506	0.861	0.385	1.12246139400745e-60	81012_1	CD4+T	SEC61G
81012_1.CD4+T.MDK	7.52374263014462e-64	0.956024646762231	0.278	0.011	2.53504984180093e-59	81012_1	CD4+T	MDK
81012_1.CD4+T.MTHFD2	9.91810874341637e-64	1.09451728875343	0.397	0.04	3.34180756000671e-59	81012_1	CD4+T	MTHFD2
81012_1.CD4+T.KCNN3	1.68273966408651e-63	0.528708987993827	0.247	0.006	5.66982302417308e-59	81012_1	CD4+T	KCNN3
81012_1.CD4+T.RP11-16E12.2	6.46984431913081e-63	0.661736362459803	0.263	0.009	2.17994934488793e-58	81012_1	CD4+T	RP11-16E12.2
81012_1.CD4+T.CHID1	1.6187874542841e-62	1.39838761820125	0.438	0.055	5.45434244846485e-58	81012_1	CD4+T	CHID1
81012_1.CD4+T.ATF4	1.99471599360449e-62	2.76940130262754	0.655	0.167	6.72099606885096e-58	81012_1	CD4+T	ATF4
81012_1.CD4+T.KDELR2	2.35155429052618e-62	0.645793611894479	0.381	0.036	7.92332702649889e-58	81012_1	CD4+T	KDELR2
81012_1.CD4+T.TRAC	6.84005224588141e-62	-4.82696897628688	0.113	0.789	2.30468720372728e-57	81012_1	CD4+T	TRAC
81012_1.CD4+T.TNFRSF4	7.06522693539791e-62	0.925387898421284	0.33	0.024	2.38055756361297e-57	81012_1	CD4+T	TNFRSF4
81012_1.CD4+T.TEX9	7.10299085942663e-62	0.606242276735998	0.242	0.006	2.39328174017521e-57	81012_1	CD4+T	TEX9
81012_1.CD4+T.SUB1	7.29650717915492e-62	8.40264285639456	0.876	0.538	2.45848512894446e-57	81012_1	CD4+T	SUB1
81012_1.CD4+T.RPN2	1.76678234582911e-61	2.59352336296629	0.608	0.136	5.9529964360366e-57	81012_1	CD4+T	RPN2
81012_1.CD4+T.TMED10	1.63807514360676e-60	2.36926579696586	0.649	0.165	5.51933038886863e-56	81012_1	CD4+T	TMED10
81012_1.CD4+T.NT5DC2	1.42146680652562e-58	0.791256091236759	0.222	0.004	4.78949025790744e-54	81012_1	CD4+T	NT5DC2
81012_1.CD4+T.MIR4435-2HG	2.61433147901846e-58	0.881166144769646	0.289	0.017	8.8087284854048e-54	81012_1	CD4+T	MIR4435-2HG
81012_1.CD4+T.DYNLL1	5.19960769643024e-58	3.44038158187156	0.665	0.198	1.75195581723521e-53	81012_1	CD4+T	DYNLL1
81012_1.CD4+T.DNAJB11	9.58899086792823e-58	1.19205347100063	0.433	0.061	3.23091458303974e-53	81012_1	CD4+T	DNAJB11
81012_1.CD4+T.CDKN1A	1.15747274412027e-57	2.54498557116889	0.289	0.018	3.89998866403884e-53	81012_1	CD4+T	CDKN1A
81012_1.CD4+T.INSR	1.71319737440845e-57	1.37972284676921	0.309	0.023	5.77244723333183e-53	81012_1	CD4+T	INSR
81012_1.CD4+T.LMNA	1.76112273983178e-57	2.88444311268481	0.232	0.007	5.9339269595892e-53	81012_1	CD4+T	LMNA
81012_1.CD4+T.FTH1	2.59992175313375e-57	9.98680651224906	0.948	0.722	8.76017635500885e-53	81012_1	CD4+T	FTH1
81012_1.CD4+T.DAAM2	2.7738080473398e-57	0.732268139402714	0.227	0.006	9.34606883470672e-53	81012_1	CD4+T	DAAM2
81012_1.CD4+T.DENND6B	8.60332854898851e-56	0.566576380212286	0.294	0.02	2.89880552129619e-51	81012_1	CD4+T	DENND6B
81012_1.CD4+T.DNAJC3	1.01016167152455e-55	4.89894412461698	0.557	0.122	3.40363873603483e-51	81012_1	CD4+T	DNAJC3
81012_1.CD4+T.CD3D	1.52791040682132e-55	-4.09045159780778	0.113	0.745	5.14814132474377e-51	81012_1	CD4+T	CD3D
81012_1.CD4+T.TRAM1	1.53762249485849e-55	2.42027950342901	0.634	0.177	5.18086523417618e-51	81012_1	CD4+T	TRAM1
81012_1.CD4+T.PYCR1	2.62269106492318e-55	0.425576152694572	0.211	0.004	8.83689527415215e-51	81012_1	CD4+T	PYCR1
81012_1.CD4+T.REEP5	2.95585575052275e-55	2.04747852813292	0.526	0.107	9.95946036581134e-51	81012_1	CD4+T	REEP5
81012_1.CD4+T.CANX	3.48802889955972e-55	1.63777760932137	0.541	0.114	1.17525645741765e-50	81012_1	CD4+T	CANX
81012_1.CD4+T.TMED9	4.42406889496104e-55	2.15899230962299	0.629	0.173	1.49064577346817e-50	81012_1	CD4+T	TMED9
81012_1.CD4+T.SEC61A1	1.0666602907017e-54	1.12046288700629	0.392	0.05	3.59400518349029e-50	81012_1	CD4+T	SEC61A1
81012_1.CD4+T.PABPC4	1.78033272174397e-54	1.79782948730074	0.397	0.053	5.99865307264414e-50	81012_1	CD4+T	PABPC4
81012_1.CD4+T.RPL21	2.24927362872661e-54	-23.0622256267634	0.995	1	7.57870256463143e-50	81012_1	CD4+T	RPL21
81012_1.CD4+T.RPN1	2.70524019278292e-54	2.44168439143164	0.438	0.07	9.11503630556278e-50	81012_1	CD4+T	RPN1
81012_1.CD4+T.CUTA	3.06918483327782e-54	6.74173756860518	0.866	0.448	1.03413113772463e-49	81012_1	CD4+T	CUTA
81012_1.CD4+T.RPS12	7.60622635221108e-54	-72.0621608933945	0.995	1	2.562841907114e-49	81012_1	CD4+T	RPS12
81012_1.CD4+T.POLR2L	3.96267487375432e-53	4.1315524157565	0.804	0.36	1.33518367196278e-48	81012_1	CD4+T	POLR2L
81012_1.CD4+T.ANKRD28	5.15520760965739e-53	2.33890439659802	0.314	0.028	1.73699565199796e-48	81012_1	CD4+T	ANKRD28
81012_1.CD4+T.TPD52	6.74845235822481e-53	2.41626243813367	0.412	0.061	2.27382353758027e-48	81012_1	CD4+T	TPD52
81012_1.CD4+T.SPATS2L	1.65515310864448e-52	0.468818903848815	0.211	0.006	5.57687288426672e-48	81012_1	CD4+T	SPATS2L
81012_1.CD4+T.TMEM45A	6.38820518023566e-52	0.451995959923626	0.227	0.009	2.1524418534286e-47	81012_1	CD4+T	TMEM45A
81012_1.CD4+T.RPL31	8.99039860671656e-52	-19.3795007102122	0.943	0.999	3.02922490654708e-47	81012_1	CD4+T	RPL31
81012_1.CD4+T.RPS29	1.95578134356792e-51	-52.0541419000104	0.979	1	6.58980965901776e-47	81012_1	CD4+T	RPS29
81012_1.CD4+T.CISD2	7.70046220950359e-51	0.896031297377945	0.402	0.059	2.59459373687014e-46	81012_1	CD4+T	CISD2
81012_1.CD4+T.QPRT	1.00907557165077e-50	0.591584324410566	0.196	0.004	3.3999792311201e-46	81012_1	CD4+T	QPRT
81012_1.CD4+T.UGT2B17	1.03532120690932e-50	0.432728744246385	0.196	0.004	3.48841127456027e-46	81012_1	CD4+T	UGT2B17
81012_1.CD4+T.CALR	2.18729691808235e-50	4.6981754760414	0.644	0.203	7.36987823578668e-46	81012_1	CD4+T	CALR
81012_1.CD4+T.RPS6	3.61128017617908e-50	-80.7356475570791	0.995	1	1.21678474256178e-45	81012_1	CD4+T	RPS6
81012_1.CD4+T.WIPI1	6.4531990869802e-50	0.440337388201147	0.211	0.007	2.17434090036711e-45	81012_1	CD4+T	WIPI1
81012_1.CD4+T.TMBIM6	6.99311960923377e-50	3.61731851066779	0.701	0.265	2.35626172113523e-45	81012_1	CD4+T	TMBIM6
81012_1.CD4+T.CFAP54	1.73123373500574e-49	0.55427967036992	0.201	0.006	5.83321894672834e-45	81012_1	CD4+T	CFAP54
81012_1.CD4+T.METTL7A	2.19191929245768e-49	0.746158514036935	0.278	0.022	7.38545286400692e-45	81012_1	CD4+T	METTL7A
81012_1.CD4+T.CD3E	3.43240949788107e-49	-2.02377337180161	0.046	0.655	1.15651605621605e-44	81012_1	CD4+T	CD3E
81012_1.CD4+T.SLC7A5	4.71525533376339e-49	0.481468482264339	0.175	0.002	1.58875813215824e-44	81012_1	CD4+T	SLC7A5
81012_1.CD4+T.FCER2	4.77855369133671e-49	0.424789630809819	0.175	0.002	1.61008588075899e-44	81012_1	CD4+T	FCER2
81012_1.CD4+T.SYNGR2	2.16158744758091e-48	1.08695807211935	0.418	0.069	7.28325274587912e-44	81012_1	CD4+T	SYNGR2
81012_1.CD4+T.UQCRQ	2.99105727270888e-48	4.71349218913986	0.763	0.374	1.00780683746653e-43	81012_1	CD4+T	UQCRQ
81012_1.CD4+T.SRPRB	3.6997051669337e-48	1.13116517314401	0.387	0.059	1.24657865894664e-43	81012_1	CD4+T	SRPRB
81012_1.CD4+T.MTDH	4.7638532810077e-48	4.01069312034443	0.531	0.129	1.60513272450274e-43	81012_1	CD4+T	MTDH
81012_1.CD4+T.RPS27A	6.5814513735906e-48	-34.1977761807232	0.985	1	2.21755422581762e-43	81012_1	CD4+T	RPS27A
81012_1.CD4+T.IGHA2	8.1338727333058e-48	2.22617466960472	0.191	0.005	2.74062707876006e-43	81012_1	CD4+T	IGHA2
81012_1.CD4+T.PRDM1	8.33569285829346e-48	1.2652444132921	0.402	0.062	2.8086283516734e-43	81012_1	CD4+T	PRDM1
81012_1.CD4+T.PSAP	8.61700891845511e-48	3.08852253608484	0.655	0.213	2.90341498498427e-43	81012_1	CD4+T	PSAP
81012_1.CD4+T.GPRC5D	1.76519843835205e-47	0.419003264423157	0.17	0.002	5.94765961818341e-43	81012_1	CD4+T	GPRC5D
81012_1.CD4+T.HSPA13	2.27813212122993e-47	0.527737791554209	0.253	0.018	7.67593836927213e-43	81012_1	CD4+T	HSPA13
81012_1.CD4+T.TXNIP	2.47223559210015e-47	4.15170762005578	0.613	0.967	8.32995060402223e-43	81012_1	CD4+T	TXNIP
81012_1.CD4+T.SLC16A3	8.06527492607043e-47	0.445205046234587	0.216	0.01	2.71751373359017e-42	81012_1	CD4+T	SLC16A3
81012_1.CD4+T.LGALS3	8.39703569809921e-47	0.717429058254752	0.237	0.015	2.82929720811755e-42	81012_1	CD4+T	LGALS3
81012_1.CD4+T.RPS3	1.03221344150583e-46	-45.0552672749271	0.964	1	3.47793996980974e-42	81012_1	CD4+T	RPS3
81012_1.CD4+T.RPL30	1.71523527486094e-46	-20.1804728196772	0.969	0.998	5.77931373511647e-42	81012_1	CD4+T	RPL30
81012_1.CD4+T.COPE	2.19413897378475e-46	2.88604156880531	0.665	0.232	7.39293185827035e-42	81012_1	CD4+T	COPE
81012_1.CD4+T.MIF	4.35752402160554e-46	7.82939949728009	0.84	0.528	1.46822414383977e-41	81012_1	CD4+T	MIF
81012_1.CD4+T.ALG5	5.15584522694553e-46	1.21801024400669	0.438	0.084	1.73721049076703e-41	81012_1	CD4+T	ALG5
81012_1.CD4+T.HMGB3	5.45094020908084e-46	0.497746254982171	0.175	0.004	1.8366397940477e-41	81012_1	CD4+T	HMGB3
81012_1.CD4+T.OSTC	5.68245176966812e-46	3.19017137671233	0.624	0.208	1.91464529927198e-41	81012_1	CD4+T	OSTC
81012_1.CD4+T.COMMD3	8.0785189271025e-46	2.0658625627924	0.49	0.111	2.72197616729792e-41	81012_1	CD4+T	COMMD3
81012_1.CD4+T.DNAJC1	1.02091635706399e-45	0.863996181819404	0.227	0.013	3.43987557349141e-41	81012_1	CD4+T	DNAJC1
81012_1.CD4+T.RPS3A	1.27305569251993e-45	-47.061188179794	1	1	4.28943385037665e-41	81012_1	CD4+T	RPS3A
81012_1.CD4+T.AL928768.3	6.11176430496977e-45	0.295876454081902	0.144	0	2.05929786491651e-40	81012_1	CD4+T	AL928768.3
81012_1.CD4+T.ATP10B	1.24187506621517e-44	1.53696253253862	0.149	0.001	4.1843738481054e-40	81012_1	CD4+T	ATP10B
81012_1.CD4+T.CADPS2	1.26252549239316e-44	0.264935017623206	0.149	0.001	4.25395339406951e-40	81012_1	CD4+T	CADPS2
81012_1.CD4+T.TMEM52B	1.92722039268505e-44	0.341162681647632	0.155	0.001	6.49357639111302e-40	81012_1	CD4+T	TMEM52B
81012_1.CD4+T.IGF1	1.94456395213465e-44	0.370077205581293	0.155	0.001	6.5520137803225e-40	81012_1	CD4+T	IGF1
81012_1.CD4+T.UGT3A2	1.99630943783746e-44	0.270425910564009	0.155	0.001	6.72636501984954e-40	81012_1	CD4+T	UGT3A2
81012_1.CD4+T.CLECL1	3.54459452202048e-44	0.676998214543534	0.222	0.013	1.19431567824958e-39	81012_1	CD4+T	CLECL1
81012_1.CD4+T.TXN	5.67338354059349e-44	1.82480547014467	0.582	0.174	1.91158985016757e-39	81012_1	CD4+T	TXN
81012_1.CD4+T.ATRAID	6.67150065401671e-44	2.12444185595033	0.603	0.195	2.24789543036439e-39	81012_1	CD4+T	ATRAID
81012_1.CD4+T.ATP5I	7.49870151281297e-44	4.64805819935857	0.835	0.487	2.5266124877272e-39	81012_1	CD4+T	ATP5I
81012_1.CD4+T.HIST1H1C	1.06124345174838e-43	10.9733254366266	0.335	0.047	3.57575368632099e-39	81012_1	CD4+T	HIST1H1C
81012_1.CD4+T.DST	1.21147487287172e-43	0.701863246464456	0.186	0.007	4.08194343665398e-39	81012_1	CD4+T	DST
81012_1.CD4+T.FTL	2.15853868735031e-43	-4.06222293331511	0.99	0.955	7.27298025315814e-39	81012_1	CD4+T	FTL
81012_1.CD4+T.WARS	3.25991336693384e-43	0.883616355706372	0.211	0.012	1.09839520985469e-38	81012_1	CD4+T	WARS
